Station Number,Standard Route Identifier,Mile Marker,Latitude,Longitude,County Code,Municipal Code,County,Municipality,Annual Average Daily Traffic,Annual Average Daily Traffic North/East (See Direction Field),Annual Average Daily Traffic South/West (See Direction Field),Year,Station Type,Direction
160344,03131030__,0.34,39.899442,-74.938761,3,313,Burlington,Evesham Twp,"6,406","3,502","2,904",01/01/2017,Volume 48hrs,North/South
7-9-399,040006122_,0.07,39.92833601,-75.07243105,4,427,Camden,Pennsauken Twp,"3,625","2,174","1,451",01/01/2017,Classification 48hrs,North/South
004120,00000206__,68.9,40.54409,-74.61372,18,1810,Somerset,Hillsborough Twp,"29,856","15,738","14,118",01/01/2017,Continous Volume,North/South
7-4-355,00000044__,0.39,39.800294,-75.332558,8,809,Gloucester,Logan Twp,"1,156",539,617,01/01/2017,Volume 48hrs,North/South
003120,00000440__,21.3,40.67535,-74.10422,9,901,Hudson,Bayonne City,"33,074","15,897","17,177",01/01/2017,Continous Volume,North/South
8-4-533,01000662__,2.63,39.380138,-74.590486,1,108,Atlantic,Egg Harbor Twp,"8,698","4,554","4,144",01/01/2017,Classification 48hrs,East/West
004114,00000001__,25.75,40.46934,-74.43495,12,1215,Middlesex,North Brunswick Twp,"111,514","54,997","56,517",01/01/2017,Continous Volume,North/South
8-4-517,06000698__,7.21,39.395323,-75.087408,6,610,Cumberland,Millville City,"2,522","1,305","1,217",01/01/2017,7 days volume,East/West
111470,14000662__,0.53,40.86936573,-74.59691357,14,1420,Morris,Mine Hill Twp,"6,719","3,531","3,188",01/01/2017,Classification 48hrs,East/West
8-4-516,06000698__,5.24,39.39251803,-75.12395303,6,610,Cumberland,Millville City,"1,800",938,862,01/01/2017,7 days volume,East/West
11s079r,00000295__B105250,52.48,40.085385,-74.759202,3,318,Burlington,Mansfield Twp,"3,689","3,689",0,01/01/2017,ramp,South
8-4-443,00000561__,21.3,39.62733,-74.790276,1,113,Atlantic,Hammonton Town,"7,107","3,722","3,385",01/01/2017,7 days volume,North/South
004124,00000018__,41.1,40.48545,-74.42629,12,1214,Middlesex,New Brunswick City,"97,161","51,708","45,453",01/01/2017,Continous Volume,East/West
7n5h710,04000644__,1.25,39.91213602,-75.03390303,4,417,Camden,Haddonfield Boro,"6,779","3,579","3,200",01/01/2017,Classification 48hrs,North/South
111476,14000671__,2.2,40.75922033,-74.69096048,14,1407,Morris,Chester Twp,"2,938","1,435","1,503",01/01/2017,Classification 48hrs,North/South
8-7-790,01151101__,0.21,39.319243,-74.522495,1,115,Atlantic,Longport Boro,640,120,520,01/01/2017,7 days volume,East/West
111513,15000614__,11.57,39.852806,-74.200479,15,1512,Ocean,Lacey Twp,"22,344","11,406","10,938",01/01/2017,Volume 48hrs,East/West
111410,14000608__,2.02,40.78291314,-74.39789999,14,1411,Morris,Florham Park Boro,"13,306","6,490","6,816",01/01/2017,Classification 48hrs,North/South
008128,00000047__,31.8,39.28899,-74.96761,6,609,Cumberland,Maurice River Twp,"6,726","3,064","3,662",01/01/2017,Continous Volume,North/South
8-8-216,05000611__,1.67,39.21746,-74.82621,5,516,Cape May,Woodbine Boro,"2,003",993,"1,010",01/01/2017,Classification 48hrs,North/South
005105,00000202__,10.4,40.490734,-74.862263,10,1021,Hunterdon,Raritan Twp,0,0,"21,454",01/01/2017,Continous Volume,South
110311,03000608__,0.24,39.947299,-74.969986,3,322,Burlington,Moorestown Twp,"15,564","7,653","7,911",01/01/2017,Volume 48hrs,North/South
11s076r,00000295__B104740,47.25,40.043348,-74.835109,3,306,Burlington,Burlington Twp,"4,221","4,221",0,01/01/2017,ramp,North
6-4-667,15070042__,0.29,39.995664,-74.201425,15,1507,Ocean,Toms River Twp,322,149,173,01/01/2017,Volume 48hrs,East/West
11s039r,00000295__Y104740,47.21,40.043127,-74.836006,3,306,Burlington,Burlington Twp,"8,941","8,941",0,01/01/2017,ramp,South
111426,14000619__,0.35,40.84504145,-74.69335904,14,1427,Morris,Mount Olive Twp,"11,397","4,417","6,980",01/01/2017,7 days volume,East/West
150901,09091116__,0.9,40.78006135,-74.07391729,9,909,Hudson,Secaucus Town,"5,623","2,444","3,179",01/01/2017,major,East/West
111427,14000620__,0.39,40.88468956,-74.64743504,14,1436,Morris,Roxbury Twp,691,173,518,01/01/2017,Classification 48hrs,North/South
131403,14191045__,1.24,40.74942614,-74.65456354,14,1419,Morris,Mendham Twp,"2,615","1,311","1,304",01/01/2017,major,North/South
111428,14000619__,2.76,40.85911979,-74.65310104,14,1436,Morris,Roxbury Twp,"8,987","4,058","4,929",01/01/2017,Classification 48hrs,East/West
11c077r,00000195__B103180,0.21,40.163027,-74.150323,13,1319,Monmouth,Howell Twp,"5,052","5,052",0,01/01/2017,ramp,East
4g5x201,00000001__,31.41,40.522787,-74.361671,12,1205,Middlesex,Edison Twp,"84,351","42,089","42,262",01/01/2017,Volume 48hrs,North/South
111536,15000632__,2,40.090867,-74.103406,15,1506,Ocean,Brick Twp,317,192,125,01/01/2017,7 days volume,East/West
111431,14000623__,1.05,40.77519489,-74.42751164,14,1411,Morris,Florham Park Boro,"14,687","6,932","7,755",01/01/2017,7 days volume,North/South
16n072r,00000003__Y200450,0.03,40.82709891,-74.12322626,16,1602,Passaic,Clifton City,,,"30,258",01/01/2017,ramp,South
091528,00000528__,30.96,40.0836667,-74.2040889,15,1514,Ocean,Lakewood Twp,"27,325","13,785","13,540",01/01/2017,Volume 48hrs,East/West
160729,07000639__,0.11,40.83439479,-74.24760953,7,720,Essex,Verona Twp,"7,416","3,722","3,694",01/01/2017,7 days volume,North/South
2-8-501,02000049__,4.17,40.91415846,-74.03287251,2,252,Bergen,River Edge Boro,"35,320","17,081","18,239",01/01/2017,Volume 48hrs,East/West
111548,15000638__,6.07,40.161983,-74.2994,15,1511,Ocean,Jackson Twp,"12,384","6,215","6,169",01/01/2017,Volume 48hrs,East/West
8-6-016,00000009__,43.44,39.432402,-74.495422,1,101,Atlantic,Absecon City,"5,130","2,545","2,585",01/01/2017,7 days volume,North/South
11c114r,00000195__Y102090,0.02,40.156318,-74.347712,15,1511,Ocean,Jackson Twp,140,140,0,01/01/2017,ramp,West
111437,14000631__,0.39,40.89465311,-74.665705,14,1436,Morris,Roxbury Twp,"22,682","13,160","9,522",01/01/2017,Volume 48hrs,North/South
6-4-373,00000033__,30.13,40.234275,-74.2299,13,1319,Monmouth,Howell Twp,"22,000","10,921","11,079",01/01/2017,Volume 48hrs,East/West
2-7-736,02000039__,8.83,40.96445162,-73.98329591,2,226,Bergen,Haworth Boro,"9,514","4,890","4,624",01/01/2017,7 days volume,North/South
5-7-265,11031969__,1.07,40.197017,-74.722044,11,1103,Mercer,Hamilton Twp,"6,959","3,203","3,756",01/01/2017,Volume 48hrs,North/South
8-5-414,00000559__,29.28,39.629999,-74.813235,1,113,Atlantic,Hammonton Town,"2,338","1,163","1,175",01/01/2017,Volume 48hrs,North/South
5-7-171,00000078__,7.26,40.66016802,-75.07228707,10,1003,Hunterdon,Bloomsbury Boro,"96,706","46,246","50,460",01/01/2017,Volume 48hrs,East/West
111446,14000638__,4.18,40.70413742,-74.4350062,14,1405,Morris,Chatham Twp,"3,051","1,438","1,613",01/01/2017,Classification 48hrs,North/South
111715,17000620__,6.38,39.661153,-75.360135,17,1710,Salem,Pittsgrove Twp,"3,211","1,525","1,686",01/01/2017,7 days volume,North/South
8-8-225,05000610__,4.73,39.237458,-74.765581,5,511,Cape May,Upper Twp,"4,228","2,204","2,024",01/01/2017,Classification 48hrs,North/South
170107,01151101__,1.47,39.330125,-74.503604,1,116,Atlantic,Margate City,0,0,"1,428",01/01/2017,Volume 48hrs,West
111447,14000638__,7.18,40.72999575,-74.39080436,14,1404,Morris,Chatham Boro,"7,536","3,894","3,642",01/01/2017,Classification 48hrs,North/South
111904,19000605__,3.2,40.96580085,-74.67142578,19,1912,Sussex,Hopatcong Boro,"5,016","2,528","2,488",01/01/2017,7 days volume,North/South
8-7-560,01000613__,1.73,39.666252,-74.766842,1,113,Atlantic,Hammonton Town,396,183,213,01/01/2017,Classification 48hrs,North/South
111902,19000603__,1.7,40.97348136,-74.77456715,19,1908,Sussex,Green Twp,"2,929","1,468","1,461",01/01/2017,7 days volume,North/South
8-8-492,01000614__,2.49,39.475673,-74.641341,1,112,Atlantic,Hamilton Twp,"7,953","3,832","4,121",01/01/2017,Classification 48hrs,North/South
111905,19000605__,8.01,41.02477321,-74.63675949,19,1918,Sussex,Sparta Twp,"6,332","3,012","3,320",01/01/2017,Classification 48hrs,North/South
111458,14000649__,0.88,40.87893142,-74.73842093,14,1427,Morris,Mount Olive Twp,"3,307","1,472","1,835",01/01/2017,Classification 48hrs,North/South
131403,14191045__,1.24,40.74942614,-74.65456354,14,1419,Morris,Mendham Twp,"2,564","1,286","1,278",01/01/2017,major,North/South
8-8-593,00000575__,16.74,39.51072681,-74.51099694,1,120,Atlantic,Port Republic City,"1,428",700,728,01/01/2017,7 days volume,North/South
111912,19000616__,4.33,41.03877345,-74.67881445,19,1918,Sussex,Sparta Twp,"14,089","6,819","7,270",01/01/2017,Volume 48hrs,East/West
8-8-782,05000608__,0.77,39.163979,-74.766304,5,504,Cape May,Dennis Twp,"2,332","1,174","1,158",01/01/2017,7 days volume,North/South
111918,19000623__,1.72,41.060307,-74.70054004,19,1902,Sussex,Andover Twp,"2,389","1,124","1,265",01/01/2017,Classification 48hrs,North/South
8-8-526,01000690__,1.74,39.532322,-74.930662,1,104,Atlantic,Buena Boro,"3,691","1,823","1,868",01/01/2017,Classification 48hrs,East/West
141402,14351144__,2.02,41.02086093,-74.45964628,14,1435,Morris,Rockaway Twp,"1,295",809,486,01/01/2017,major,North/South
3-4-626,07211009__,1.06,40.84981409,-74.27027518,7,721,Essex,West Caldwell Boro,"2,308","1,618","1,499",01/01/2017,7 days volume,East/West
111933,19000663__,3,41.07310041,-74.70269538,19,1902,Sussex,Andover Twp,"1,494",712,782,01/01/2017,Classification 48hrs,North/South
4n5h701,00000027__,25,40.57243,-74.322965,12,1225,Middlesex,Woodbridge Twp,"16,777","9,637","7,140",01/01/2017,Volume 48hrs,North/South
131403,14191045__,1.24,40.74942614,-74.65456354,14,1419,Morris,Mendham Twp,"1,942",930,"1,012",01/01/2017,major,North/South
111464,14000656__,0.32,40.86932048,-74.55688916,14,1432,Morris,Randolph Twp,"3,187","1,493","1,694",01/01/2017,7 days volume,North/South
141402,14351144__,2.02,41.02086093,-74.45964628,14,1435,Morris,Rockaway Twp,271,144,127,01/01/2017,major,North/South
4-4-649,18000625__,2.83,40.531667,-74.691147,18,1810,Somerset,Hillsborough Twp,"4,190","2,200","2,160",01/01/2017,7 days volume,North/South
111936,19000669__,0.41,41.00066432,-74.73922859,19,1902,Sussex,Andover Twp,"2,907","1,785","1,122",01/01/2017,7 days volume,North/South
s17818,01191021__,0.78,39.39858,-74.527551,1,119,Atlantic,Pleasantville City,"1,015",506,509,01/01/2017,Volume 48hrs,East/West
131403,14191045__,1.24,40.74942614,-74.65456354,14,1419,Morris,Mendham Twp,"2,041","1,043",998,01/01/2017,major,North/South
4-4-630,12041172__,0.39,40.431125,-74.417522,12,1204,Middlesex,East Brunswick Twp,"2,271","1,074","1,074",01/01/2017,7 days volume,North/South
112004,20000603__,0.48,40.60580518,-74.42096148,20,2012,Union,Plainfield City,"7,721","4,327","3,394",01/01/2017,Volume 48hrs,North/South
100808,00000322__,13.97,39.724458,-75.173285,8,808,Gloucester,Harrison Twp,"22,225","10,767","11,458",01/01/2017,Volume 48hrs,East/West
141402,14351144__,2.02,41.02086093,-74.45964628,14,1435,Morris,Rockaway Twp,"1,314",728,586,01/01/2017,major,North/South
4-4-210,00000001__,40.88,40.62499861,-74.24466305,20,2009,Union,Linden City,"68,686","35,704","35,930",01/01/2017,Volume 48hrs,North/South
112001,20000601__,2.01,40.62014695,-74.41278025,20,2012,Union,Plainfield City,"10,459","5,156","5,303",01/01/2017,Classification 48hrs,East/West
4n5h702,12000604__,3.93,40.572621,-74.317982,12,1225,Middlesex,Woodbridge Twp,"13,511","7,006","6,505",01/01/2017,Volume 48hrs,East/West
112008,20000606__,1.82,40.63043381,-74.34708958,20,2016,Union,Scotch Plains Twp,"7,718","3,953","3,765",01/01/2017,Classification 48hrs,East/West
3-4-637,07051095__,0.11,40.74731528,-74.22429316,7,705,Essex,East Orange City,,,"1,110",01/01/2017,Volume 48hrs,South
112017,20000611__,0.57,40.61802714,-74.36172025,20,2016,Union,Scotch Plains Twp,"11,648","5,822","5,826",01/01/2017,Classification 48hrs,North/South
11s086r,00000295__X104770,47.45,40.04599,-74.832552,3,306,Burlington,Burlington Twp,0,"3,962",0,01/01/2017,ramp,North
112007,20000606__,0.4,40.64254952,-74.36794603,20,2016,Union,Scotch Plains Twp,"7,109","3,156","3,953",01/01/2017,7 days volume,East/West
000040,00000040__,28.4,39.564498,-75.030726,8,805,Gloucester,Franklin Twp,"9,742","4,926","4,816",01/01/2017,Weigh in Motion,East/West
131403,14191045__,1.24,40.74942614,-74.65456354,14,1419,Morris,Mendham Twp,"1,863",945,918,01/01/2017,major,North/South
130409,04151010__,0.92,39.77078286,-75.02532832,4,415,Camden,Gloucester Twp,"3,521","1,842","1,679",01/01/2017,Classification 48hrs,East/West
131403,14191045__,1.24,40.74942614,-74.65456354,14,1419,Morris,Mendham Twp,"2,617","1,289","1,328",01/01/2017,major,North/South
7-4-680,04141090__,0.4,39.887517,-75.098464,4,414,Camden,Gloucester City,153,82,71,01/01/2017,Volume 48hrs,East/West
131403,14191045__,1.24,40.74942614,-74.65456354,14,1419,Morris,Mendham Twp,"2,214","1,116","1,098",01/01/2017,major,North/South
090235,00000063__,0.24,40.81377126,-74.00310486,2,218,Bergen,Fairview Boro,"20,905","10,592","10,313",01/01/2017,Volume 48hrs,North/South
131403,14191045__,1.24,40.74942614,-74.65456354,14,1419,Morris,Mendham Twp,"1,950",968,982,01/01/2017,major,North/South
10s026,00000130__,71.51,40.3089472,-74.5099639,12,1202,Middlesex,Cranbury Twp,"35,949","18,153",,01/01/2017,Classification 48hrs,North
131403,14191045__,1.24,40.74942614,-74.65456354,14,1419,Morris,Mendham Twp,"2,457","1,247","1,210",01/01/2017,major,North/South
112064,20000647__,1.54,40.69942917,-74.40218886,20,2011,Union,New Providence Boro,"13,564","6,605","6,959",01/01/2017,Classification 48hrs,North/South
160713,07000653__,2.73,40.82161641,-74.19689233,7,708,Essex,Glen Ridge Boro,"9,352","4,320","5,032",01/01/2017,7 days volume,North/South
110104,01000615__,5.08,39.365346,-74.600183,1,108,Atlantic,Egg Harbor Twp,"8,919","4,517","4,402",01/01/2017,Classification 48hrs,East/West
112069,20000651__,0.63,40.72434046,-74.37052251,20,2018,Union,Summit City,"10,990","5,624","5,366",01/01/2017,Classification 48hrs,North/South
110153,01000697__,0.05,39.391719,-74.517872,1,119,Atlantic,Pleasantville City,413,206,207,01/01/2017,7 days volume,East/West
11c068r,00000195__B101660,0.1,40.160174,-74.426216,13,1332,Monmouth,Millstone Twp,"1,091","1,091",0,01/01/2017,ramp,East
1-4-407,00000519__,51.93,40.94288247,-74.9173679,21,2106,Warren,Frelinghuysen Twp,"1,199",603,596,01/01/2017,Classification 48hrs,North/South
112067,20000649__,1.69,40.7328687,-74.3731128,20,2018,Union,Summit City,"24,254","11,993","12,261",01/01/2017,Classification 48hrs,North/South
5-8-311,03000662__,1.97,40.144501,-74.711819,3,303,Burlington,Bordentown City,"1,442",594,848,01/01/2017,Volume 48hrs,East/West
112038,20000622__,1.1,40.6683609,-74.43634958,20,2001,Union,Berkeley Heights Twp,"4,832","2,540","2,292",01/01/2017,7 days volume,East/West
110148,01000678__,0.33,39.638577,-74.811739,1,113,Atlantic,Hammonton Town,"5,036","2,392","2,644",01/01/2017,Classification 48hrs,North/South
112112,21000643__,3.24,40.72422532,-75.04572304,21,2105,Warren,Franklin Twp,"1,870",928,942,01/01/2017,Classification 48hrs,North/South
11s029r,00000295__A104760,47.39,40.045141,-74.833333,3,306,Burlington,Burlington Twp,"8,887","8,887",0,01/01/2017,ramp,North
6-0-355,150000711_,0.16,40.089195,-74.055683,15,1524,Ocean,Point Pleasant Boro,975,415,560,01/01/2017,Volume 48hrs,East/West
1-8-030,21191190__,1.58,40.69450351,-75.17483636,21,2119,Warren,Phillipsburg Town,"8,124","4,075","4,049",01/01/2017,Volume 48hrs,North/South
131403,14191045__,1.24,40.74942614,-74.65456354,14,1419,Morris,Mendham Twp,"2,852","1,426","1,426",01/01/2017,major,North/South
1-7-198,00000010__,14.33,40.8233522,-74.41621272,14,1412,Morris,Hanover Twp,"33,055","16,848","17,510",01/01/2017,Volume 48hrs,East/West
112106,21000623__,0.41,40.75862505,-75.00248783,21,2122,Warren,Washington Twp,"6,087","3,075","3,012",01/01/2017,7 days volume,North/South
8g5x305,00000047__,46.71,39.489254,-75.04283,6,614,Cumberland,Vineland City,"21,455","11,172","10,284",01/01/2017,Classification 48hrs,North/South
112102,21000611__,2.44,40.89532426,-74.94324464,21,2114,Warren,Liberty Twp,"1,757",901,856,01/01/2017,7 days volume,North/South
1-8-029,21191184__,0.31,40.68845977,-75.17498352,21,2119,Warren,Phillipsburg Town,"2,428","1,228","1,200",01/01/2017,Classification 48hrs,North/South
112109,21000629__,2.46,40.80554179,-74.91064155,21,2116,Warren,Mansfield Twp,"2,009",989,"1,020",01/01/2017,7 days volume,North/South
s17722,00000538__,20.33,39.6197,-74.991205,8,805,Gloucester,Franklin Twp,"3,284","1,629","1,655",01/01/2017,Volume 48hrs,East/West
112108,21000628__,3.95,40.79594205,-74.94960189,21,2116,Warren,Mansfield Twp,"1,641",884,757,01/01/2017,7 days volume,East/West
s17723,08111050__,1.21,39.616627,-74.981562,8,805,Gloucester,Franklin Twp,683,335,348,01/01/2017,Volume 48hrs,North/South
16n084r,00000021__X101270,0.06,40.87056578,-74.11746116,16,1607,Passaic,Passaic City,,,"7,288",01/01/2017,ramp,South
c17802,00000047__,36.29,39.343385,-75.007558,6,610,Cumberland,Millville City,"2,120",960,"1,160",01/01/2017,Classification 48hrs,North/South
11c019r,00000295__X106220,0.01,40.206858,-74.708144,11,1103,Mercer,Hamilton Twp,"3,611","3,611",0,01/01/2017,ramp,North
110335,03000618__,1.96,39.901044,-74.890486,3,313,Burlington,Evesham Twp,"12,823","6,496","6,327",01/01/2017,Volume 48hrs,East/West
1t6c201,19000605__,0.05,40.9271656,-74.69684744,19,1912,Sussex,Hopatcong Boro,"4,411","2,247","2,164",01/01/2017,Classification 48hrs,North/South
110864,08000659__,0.88,39.625001,-74.990322,8,805,Gloucester,Franklin Twp,"5,249","2,576","2,673",01/01/2017,7 days volume,North/South
16n086r,00000021__B101100,0.02,40.84274421,-74.12291564,16,1607,Passaic,Passaic City,,"2,094",,01/01/2017,ramp,North
100306,00000130__,57.44,40.163462,-74.690549,3,304,Burlington,Bordentown Twp,"27,597","13,938","13,659",01/01/2017,Volume 48hrs,North/South
11c014r,00000295__B106560,0.09,40.252113,-74.694533,11,1103,Mercer,Hamilton Twp,"4,558","4,558",0,01/01/2017,ramp,North
100104,00000050__,17.95,39.439769,-74.735849,1,123,Atlantic,Weymouth Twp,"4,913","2,502","2,411",01/01/2017,7 days volume,North/South
16n039r,00000021__X100480,0.03,40.76832661,-74.15954716,7,714,Essex,Newark City,0,0,"3,509",01/01/2017,ramp,South
s17824,00000009__,33.76,39.323726,-74.600912,1,121,Atlantic,Somers Point City,"17,291","8,506","8,785",01/01/2017,Volume 48hrs,North/South
11n071r,00000080__B106030,0.26,40.90182779,-74.13540041,16,1608,Passaic,Paterson City,"5,288","5,288",0,01/01/2017,ramp,East
1-8-102,21000661__,1.87,40.97427845,-74.87336792,21,2106,Warren,Frelinghuysen Twp,"2,180","1,116","1,064",01/01/2017,Classification 48hrs,North/South
11c045r,00000195__A100840,0.02,40.18634,-74.573054,13,1351,Monmouth,Upper Freehold Twp,"6,905","6,905",0,01/01/2017,ramp,West
110108,01000617__,0.11,39.449706,-74.724125,1,112,Atlantic,Hamilton Twp,"18,195","10,791","7,404",01/01/2017,Classification 48hrs,East/West
11n040r,00000080__A706010,0.12,40.90088964,-74.13941952,16,1608,Passaic,Paterson City,"14,740","14,740",0,01/01/2017,ramp,East
s17825,00000009__,34,39.326659,-74.598499,1,121,Atlantic,Somers Point City,"18,748","8,945","9,804",01/01/2017,Volume 48hrs,North/South
11c058r,00000195__B100180,0.15,40.188086,-74.690737,11,1103,Mercer,Hamilton Twp,"4,340","4,340",0,01/01/2017,ramp,East
dd10814,00000009__,55.77,39.587203,-74.463168,3,301,Burlington,Bass River Twp,"8,238","4,301","3,937",01/01/2017,7 days volume,North/South
11c029r,00000295__Y106390,0.02,40.23331,-74.701579,11,1103,Mercer,Hamilton Twp,"1,870","1,870",0,01/01/2017,ramp,South
s17827,01211009__,0.71,39.324642,-74.598512,1,121,Atlantic,Somers Point City,"3,562","1,661","1,901",01/01/2017,Volume 48hrs,East/West
11c044r,00000195__A100720,0.07,40.191133,-74.59432,11,1112,Mercer,Robbinsville Twp,"3,189","3,189",0,01/01/2017,ramp,East
5-4-204,00000206__,38.4,40.181083,-74.704747,11,1103,Mercer,Hamilton Twp,"23,190","11,909","11,281",01/01/2017,7 days volume,North/South
110472,04000661__,1.05,39.881269,-75.079867,4,418,Camden,Haddon Heights Boro,0,0,439,01/01/2017,7 days volume,West
110304,03000603__,9.52,40.008056,-75.007831,3,331,Burlington,Riverton Boro,"4,219","2,242","1,977",01/01/2017,7 days volume,North/South
001121,00000287__,31.85,40.75439,-74.52623,14,1413,Morris,Harding Twp,0,0,"51,538",01/01/2017,Continous Volume,South
110136,01000655__,1.75,39.511022,-74.930934,1,105,Atlantic,Buena Vista Twp,"5,905","2,956","2,949",01/01/2017,7 days volume,North/South
003328,00000280__,6.5,40.80383,-74.28276,7,710,Essex,Livingston Twp,0,0,"52,636",01/01/2017,Continous Volume,West
110102,01000608__,0.99,39.39629,-74.534109,1,119,Atlantic,Pleasantville City,"4,539","2,457","2,082",01/01/2017,7 days volume,East/West
16n067r,00000495__Y100180,0.03,40.76947765,-74.02499548,9,910,Hudson,Union City,0,0,"14,084",01/01/2017,ramp,West
100801,00000055__,47.51,39.68072,-75.134885,8,804,Gloucester,Elk Twp,"47,644","24,267","23,377",01/01/2017,7 days volume,North/South
11c046r,00000195__A101160,0.07,40.176669,-74.513848,13,1351,Monmouth,Upper Freehold Twp,"1,432","1,432",0,01/01/2017,ramp,East
110131,01000651__,5.27,39.360762,-74.581759,1,108,Atlantic,Egg Harbor Twp,"8,634","4,070","4,564",01/01/2017,Classification 48hrs,North/South
11c059r,00000195__B100330,0.03,40.197247,-74.664613,11,1103,Mercer,Hamilton Twp,"2,920","2,920",0,01/01/2017,ramp,East
110389,03000662__,2.52,40.15015,-74.71069,3,303,Burlington,Bordentown City,"3,150","1,538","1,612",01/01/2017,7 days volume,East/West
16n083r,00000021__X101150,0,40.8525059,-74.1222602,16,1607,Passaic,Passaic City,0,0,"8,924",01/01/2017,ramp,South
1103a8,03000677__,0.28,40.120055,-74.641476,3,307,Burlington,Chesterfield Twp,"2,840","1,327","1,513",01/01/2017,Classification 48hrs,North/South
11c057r,00000195__B100030,0.15,40.18361,-74.716789,11,1103,Mercer,Hamilton Twp,"9,413","9,413",0,01/01/2017,ramp,East
110886,08000689__,3.98,39.716336,-75.037244,8,818,Gloucester,Washington Twp,"15,417","7,435","7,982",01/01/2017,7 days volume,East/West
131702,00000540__,3.45,39.65042201,-75.44609803,17,1706,Salem,Oldmans Twp,"4,619","2,328","2,291",01/01/2017,7 days volume,East/West
110392,03000667__,0.05,39.97213,-74.585047,3,329,Burlington,Pemberton Twp,"12,623","6,427","6,196",01/01/2017,7 days volume,East/West
11n055r,00000080__B103750,0.14,40.90944327,-74.50455096,14,1435,Morris,Rockaway Twp,"4,195","4,195",0,01/01/2017,ramp,East
110432,04000630__,0.3,39.903198,-75.114833,4,408,Camden,Camden City,"6,580","3,072","3,508",01/01/2017,7 days volume,East/West
11n109r,00000080__X105540,0.01,40.89718886,-74.21926365,16,1612,Passaic,Totowa Boro,"2,784","2,784",0,01/01/2017,ramp,West
1-8-519,19191046__,0.28,40.91884821,-74.69683957,19,1919,Sussex,Stanhope Boro,"4,069","2,007","2,062",01/01/2017,Classification 48hrs,North/South
131601,16141269__,0.89,40.96844112,-74.27831212,16,1614,Passaic,Wayne Twp,"2,038",937,"1,101",01/01/2017,major,North/South
110340,03000620__,6.92,39.850264,-74.812966,3,321,Burlington,Medford Lakes Boro,"4,963","2,678","2,285",01/01/2017,Volume 48hrs,East/West
11c070r,00000195__B102100,0.14,40.154144,-74.347679,15,1511,Ocean,Jackson Twp,595,595,0,01/01/2017,ramp,East
110354,03000630__,2,40.041967,-74.897022,3,338,Burlington,Willingboro Twp,"6,757","3,477","3,280",01/01/2017,Volume 48hrs,East/West
160711,07000615__,2.85,40.8855024,-74.2634184,7,707,Essex,Fairfield Boro,"9,692","3,508","6,184",01/01/2017,7 days volume,East/West
110416,04000614__,0.47,39.973915,-75.052891,4,427,Camden,Pennsauken Twp,"2,891","1,495","1,396",01/01/2017,Classification 48hrs,North/South
16n019r,00000003__A100510,0,40.82135803,-74.12189874,2,256,Bergen,Rutherford Boro,,"11,669",,01/01/2017,ramp,East
1103b3,03000679__,6.09,39.654734,-74.516054,3,301,Burlington,Bass River Twp,"1,239",625,614,01/01/2017,7 days volume,North/South
11c079r,00000195__B200030,0.2,40.185176,-74.720444,11,1103,Mercer,Hamilton Twp,"12,673","12,673",0,01/01/2017,ramp,North
11s038r,00000295__Y104760,47.41,40.045873,-74.833546,3,306,Burlington,Burlington Twp,"3,116","3,116",0,01/01/2017,ramp,South
1-8-739,21191185__,0.07,40.68658149,-75.18014008,21,2119,Warren,Phillipsburg Town,,,"1,030",01/01/2017,Classification 48hrs,South
p17806,00000040__,46.59,39.448073,-74.732177,1,112,Atlantic,Hamilton Twp,"25,273","12,899","12,374",01/01/2017,7 days volume,East/West
11c080r,00000195__X100000,0.21,40.185235,-74.722641,11,1103,Mercer,Hamilton Twp,"8,002","8,002",0,01/01/2017,ramp,South
110433,04000630__,1.51,39.907656,-75.09382,4,416,Camden,Haddon Twp,"11,990","7,866","4,124",01/01/2017,7 days volume,East/West
11c088r,00000195__X100870,0.07,40.185969,-74.567864,13,1351,Monmouth,Upper Freehold Twp,"1,300","1,300",0,01/01/2017,ramp,East
1103b2,03000679__,1.95,39.619209,-74.454061,3,301,Burlington,Bass River Twp,"1,175",606,569,01/01/2017,Classification 48hrs,North/South
131601,16141269__,0.89,40.96844112,-74.27831212,16,1614,Passaic,Wayne Twp,"2,082",984,"1,098",01/01/2017,major,North/South
110407,04000605__,0.37,39.92316,-75.104415,4,408,Camden,Camden City,"11,164","5,698","5,466",01/01/2017,7 days volume,North/South
11c101r,00000195__Y100170,0.03,40.187304,-74.693174,11,1103,Mercer,Hamilton Twp,"4,306","4,306",0,01/01/2017,ramp,West
110435,04000632__,0.4,39.891007,-75.124426,4,414,Camden,Gloucester City,"3,051","1,376","1,675",01/01/2017,Classification 48hrs,North/South
11n011r,00000080__A103880,0.13,40.8966798,-74.48848937,14,1408,Morris,Denville Twp,"7,965","7,965",0,01/01/2017,ramp,North
110856,08000654__,6.96,39.750634,-75.095019,8,818,Gloucester,Washington Twp,"13,438","6,571","6,867",01/01/2017,7 days volume,North/South
11c060r,00000195__B100350,0.1,40.197578,-74.662369,11,1103,Mercer,Hamilton Twp,756,756,0,01/01/2017,ramp,East
1104a4,04000683__,3.86,39.807775,-75.004505,4,422,Camden,Lindenwold Boro,"6,644","3,069","3,575",01/01/2017,7 days volume,East/West
